Expiration Date,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Type,Index Spot
2025-01-29,0.0,0.0,800.7,824.7,0,0.0,1.0,0.0,0,5225.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,78,5225.0,Put,6039.3101
2025-01-29,0.0,0.0,775.6,799.6,0,0.0,1.0,0.0,0,5250.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,256,5250.0,Put,6039.3101
2025-01-29,0.0,0.0,750.6,774.6,0,0.0,1.0,0.0,0,5275.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,211,5275.0,Put,6039.3101
2025-01-29,812.15,0.0,725.9,749.8,0,0.0,1.0,0.0,6,5300.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1500,5300.0,Put,6039.3101
2025-01-29,729.2,-20.1,700.7,724.7,2,0.0,1.0,0.0,0,5325.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,2547,5325.0,Put,6039.3101
2025-01-29,671.7,-52.75,675.9,699.8,1,0.0,1.0,0.0,0,5350.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,2442,5350.0,Put,6039.3101
2025-01-29,0.0,0.0,650.9,674.8,0,0.0,1.0,0.0,0,5375.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1092,5375.0,Put,6039.3101
2025-01-29,638.93,-35.42,625.6,649.5,1,0.0,1.0,0.0,1,5400.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,4,0.0,0.0,0.0,2005,5400.0,Put,6039.3101
2025-01-29,0.0,0.0,600.7,624.7,0,0.0,1.0,0.0,0,5425.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,321,5425.0,Put,6039.3101
2025-01-29,598.2,-21.75,575.9,599.8,1,0.0,1.0,0.0,1,5450.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,72,0.0,0.0,0.0,1255,5450.0,Put,6039.3101
2025-01-29,574.3,-20.6,550.7,574.6,1,0.0,1.0,0.0,1,5475.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,257,0.0,0.0,0.0,1311,5475.0,Put,6039.3101
2025-01-29,550.66,-19.24,525.5,549.5,12,0.0,1.0,0.0,46,5500.0,Call,6039.3101
2025-01-29,0.04,-0.035,0.0,0.05,200,0.0,0.0,0.0,2236,5500.0,Put,6039.3101
2025-01-29,516.6,-28.3,500.4,524.4,5,0.0,1.0,0.0,5,5525.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,459,5525.0,Put,6039.3101
2025-01-29,0.0,0.0,486.2,510.2,0,0.0,1.0,0.0,0,5540.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,205,5540.0,Put,6039.3101
2025-01-29,494.0,-25.9,476.0,499.9,167,0.0,1.0,0.0,159,5550.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,25,0.0,0.0,0.0,762,5550.0,Put,6039.3101
2025-01-29,0.0,0.0,465.8,489.7,0,0.0,1.0,0.0,0,5560.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,22,5560.0,Put,6039.3101
2025-01-29,453.9,-45.95,455.6,479.5,1,0.0,1.0,0.0,0,5570.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,2,0.0,0.0,0.0,62,5570.0,Put,6039.3101
2025-01-29,0.0,0.0,450.8,474.7,0,0.0,1.0,0.0,0,5575.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,634,5575.0,Put,6039.3101
2025-01-29,0.0,0.0,445.8,469.7,0,0.0,1.0,0.0,0,5580.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,302,5580.0,Put,6039.3101
2025-01-29,0.0,0.0,435.6,459.6,0,0.0,1.0,0.0,0,5590.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,133,5590.0,Put,6039.3101
2025-01-29,442.85,-30.35,426.0,450.0,1,0.0,1.0,0.0,4,5600.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,33,0.0,0.0,0.0,1829,5600.0,Put,6039.3101
2025-01-29,427.7,-35.5,415.7,439.7,1,0.0,1.0,0.0,0,5610.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,173,5610.0,Put,6039.3101
2025-01-29,407.1,-42.8,405.7,429.7,1,0.0,1.0,0.0,0,5620.0,Call,6039.3101
2025-01-29,0.07,0.0,0.0,0.05,0,0.0,0.0,0.0,599,5620.0,Put,6039.3101
2025-01-29,360.7,0.0,400.9,424.8,0,0.0,1.0,0.0,2,5625.0,Call,6039.3101
2025-01-29,0.05,0.0,0.0,0.05,0,0.0,0.0,0.0,1472,5625.0,Put,6039.3101
2025-01-29,0.0,0.0,395.9,419.8,0,0.0,1.0,0.0,0,5630.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,186,5630.0,Put,6039.3101
2025-01-29,0.0,0.0,385.7,409.7,0,0.0,1.0,0.0,0,5640.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,902,5640.0,Put,6039.3101
2025-01-29,0.0,0.0,375.7,399.7,0,0.0,1.0,0.0,0,5650.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,21,0.0,0.0,0.0,653,5650.0,Put,6039.3101
2025-01-29,0.0,0.0,370.7,394.7,0,0.0,1.0,0.0,0,5655.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,2,0.0,0.0,0.0,123,5655.0,Put,6039.3101
2025-01-29,0.0,0.0,365.7,389.7,0,0.0,1.0,0.0,0,5660.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,215,5660.0,Put,6039.3101
2025-01-29,363.0,-46.35,360.7,384.7,2,0.0,1.0,0.0,1,5665.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,54,5665.0,Put,6039.3101
2025-01-29,383.5,-19.75,355.9,379.8,1,0.0,1.0,0.0,0,5670.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,62,5670.0,Put,6039.3101
2025-01-29,372.7,-25.55,350.7,374.7,1,0.0,1.0,0.0,1,5675.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,572,5675.0,Put,6039.3101
2025-01-29,325.33,0.0,345.6,369.6,0,0.0,1.0,0.0,5,5680.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,186,5680.0,Put,6039.3101
2025-01-29,357.0,-31.25,340.7,364.7,1,0.0,1.0,0.0,0,5685.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,74,5685.0,Put,6039.3101
2025-01-29,0.0,0.0,335.9,359.8,0,0.0,1.0,0.0,0,5690.0,Call,6039.3101
2025-01-29,0.24,0.0,0.0,0.05,0,0.0,0.0,0.0,219,5690.0,Put,6039.3101
2025-01-29,0.0,0.0,330.9,354.8,0,0.0,1.0,0.0,0,5695.0,Call,6039.3101
2025-01-29,0.35,0.0,0.0,0.05,0,0.0,0.0,0.0,115,5695.0,Put,6039.3101
2025-01-29,348.83,-25.52,326.0,349.9,38,0.0,1.0,0.0,296,5700.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,43,0.0,0.0,0.0,1573,5700.0,Put,6039.3101
2025-01-29,299.31,0.0,320.9,344.8,0,0.0,1.0,0.0,3,5705.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,3,0.0,0.0,0.0,171,5705.0,Put,6039.3101
2025-01-29,285.52,0.0,315.5,339.4,0,0.0,1.0,0.0,46,5710.0,Call,6039.3101
2025-01-29,0.08,0.0,0.0,0.05,0,0.0,0.0,0.0,242,5710.0,Put,6039.3101
2025-01-29,280.57,0.0,311.0,334.9,0,0.0,1.0,0.0,41,5715.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,189,5715.0,Put,6039.3101
2025-01-29,285.55,0.0,306.0,329.9,0,0.0,1.0,0.0,16,5720.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,1066,5720.0,Put,6039.3101
2025-01-29,0.0,0.0,300.8,324.8,0,0.0,1.0,0.0,0,5725.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,1,0.0,0.0,0.0,1324,5725.0,Put,6039.3101
2025-01-29,258.63,0.0,295.7,319.7,0,0.0,1.0,0.0,1,5730.0,Call,6039.3101
2025-01-29,0.1,0.0,0.0,0.05,0,0.0,0.0,0.0,212,5730.0,Put,6039.3101
2025-01-29,253.65,0.0,290.9,314.8,0,0.0,1.0,0.0,1,5735.0,Call,6039.3101
2025-01-29,0.2,0.0,0.0,0.05,0,0.0,0.0,0.0,96,5735.0,Put,6039.3101
2025-01-29,305.7,-28.8,286.0,310.0,1,0.0,1.0,0.0,0,5740.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,2,0.0,0.0,0.0,2189,5740.0,Put,6039.3101
2025-01-29,280.7,-48.7,280.5,304.4,2,0.0,1.0,0.0,0,5745.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,9,0.0,0.0,0.0,199,5745.0,Put,6039.3101
2025-01-29,281.6,-42.9,275.9,299.9,1,0.0,1.0,0.0,3,5750.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,77,0.0,0.0,0.0,6080,5750.0,Put,6039.3101
2025-01-29,0.0,0.0,270.6,294.5,0,0.0,1.0,0.0,0,5755.0,Call,6039.3101
2025-01-29,0.07,-0.03,0.0,0.05,197,0.0,0.0,0.0,251,5755.0,Put,6039.3101
2025-01-29,276.9,-37.65,266.3,290.2,10,0.0,1.0,0.0,16,5760.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,725,0.0,0.0,0.0,796,5760.0,Put,6039.3101
2025-01-29,273.9,-35.55,260.6,284.6,2,0.0,1.0,0.0,0,5765.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,840,0.0,0.0,0.0,1742,5765.0,Put,6039.3101
2025-01-29,269.8,-34.65,255.7,279.7,2,0.0,1.0,0.0,0,5770.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,347,0.0,0.0,0.0,1100,5770.0,Put,6039.3101
2025-01-29,267.9,-31.65,250.6,274.5,1,0.0,1.0,0.0,1,5775.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,502,0.0,0.0,0.0,4161,5775.0,Put,6039.3101
2025-01-29,262.9,-31.55,245.8,269.7,1,0.0,1.0,0.0,1,5780.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,365,0.0,0.0,0.0,406,5780.0,Put,6039.3101
2025-01-29,0.0,0.0,240.6,264.6,0,0.0,1.0,0.0,0,5785.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,175,0.0,0.0,0.0,151,5785.0,Put,6039.3101
2025-01-29,257.8,-26.65,235.8,259.7,9,0.0,1.0,0.0,24,5790.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,251,0.0,0.0,0.0,1248,5790.0,Put,6039.3101
2025-01-29,241.4,-38.05,230.7,254.7,1,0.0,1.0,0.0,7,5795.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,104,0.0,0.0,0.0,581,5795.0,Put,6039.3101
2025-01-29,256.51,-17.94,226.1,250.1,72,0.0,1.0,0.0,367,5800.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,153,0.0,0.0,0.0,5918,5800.0,Put,6039.3101
2025-01-29,217.2,-51.05,220.9,244.8,3,0.0,1.0,0.0,23,5805.0,Call,6039.3101
2025-01-29,0.05,-0.05,0.0,0.05,180,0.0,0.0,0.0,745,5805.0,Put,6039.3101
2025-01-29,215.3,-48.0,216.1,240.1,2,0.0,1.0,0.0,13,5810.0,Call,6039.3101
2025-01-29,0.05,-0.025,0.0,0.05,217,0.0,0.0,0.0,1537,5810.0,Put,6039.3101
2025-01-29,230.51,-27.79,211.3,235.3,2,0.0,1.0,0.0,34,5815.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,293,0.0,0.0,0.0,531,5815.0,Put,6039.3101
2025-01-29,216.63,-36.67,205.9,229.8,6,0.0,1.0,0.0,29,5820.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,277,0.0,0.0,0.0,916,5820.0,Put,6039.3101
2025-01-29,219.08,-29.17,199.7,223.6,16,0.0,1.0,0.0,53,5825.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,478,0.0,0.0,0.0,1970,5825.0,Put,6039.3101
2025-01-29,214.03,-29.27,195.0,219.0,12,0.0,1.0,0.0,25,5830.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,757,0.0,0.0,0.0,370,5830.0,Put,6039.3101
2025-01-29,186.1,-48.9,189.7,213.6,6,0.0,1.0,0.0,8,5835.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,1795,0.0,0.0,0.0,653,5835.0,Put,6039.3101
2025-01-29,201.0,-29.0,187.0,207.4,5,0.0,1.0,0.0,30,5840.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,862,0.0,0.0,0.0,2562,5840.0,Put,6039.3101
2025-01-29,192.6,-32.4,182.0,205.9,4,0.0,1.0,0.0,13,5845.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,913,0.0,0.0,0.0,1503,5845.0,Put,6039.3101
2025-01-29,189.6,-30.4,175.9,199.8,12,0.0,1.0,0.0,34,5850.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,1696,0.0,0.0,0.0,8786,5850.0,Put,6039.3101
2025-01-29,174.6,-41.4,169.1,192.6,13,0.0,1.0,0.0,37,5855.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,1120,0.0,0.0,0.0,625,5855.0,Put,6039.3101
2025-01-29,253.92,0.0,166.8,190.7,0,0.0,1.0,0.0,66,5860.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,1726,0.0,0.0,0.0,2222,5860.0,Put,6039.3101
2025-01-29,189.48,0.0,161.7,185.6,0,0.0,1.0,0.0,15,5865.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,559,0.0,0.0,0.0,2009,5865.0,Put,6039.3101
2025-01-29,165.1,-36.6,156.2,180.1,3,0.0,1.0,0.0,105,5870.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,824,0.0,0.0,0.0,3211,5870.0,Put,6039.3101
2025-01-29,176.0,-20.6,148.6,172.6,3,0.0,1.0,0.0,244,5875.0,Call,6039.3101
2025-01-29,0.05,-0.075,0.0,0.05,1128,0.0,0.0,0.0,3330,5875.0,Put,6039.3101
2025-01-29,163.58,-29.72,147.0,171.0,5,0.0,1.0,0.0,38,5880.0,Call,6039.3101
2025-01-29,0.05,-0.1,0.0,0.05,2466,0.0,0.0,0.0,781,5880.0,Put,6039.3101
2025-01-29,142.1,-46.2,142.0,165.9,1,0.0,1.0,0.0,12,5885.0,Call,6039.3101
2025-01-29,0.05,-0.1,0.0,0.05,4187,0.0,0.0,0.0,825,5885.0,Put,6039.3101
2025-01-29,154.58,-28.72,145.8,151.9,4,0.0,1.0,0.0,13,5890.0,Call,6039.3101
2025-01-29,0.05,-0.125,0.0,0.05,1466,0.0,0.0,0.0,1098,5890.0,Put,6039.3101
2025-01-29,139.5,-38.85,140.8,146.9,1,0.0,1.0,0.0,6,5895.0,Call,6039.3101
2025-01-29,0.05,-0.125,0.0,0.05,3591,0.0,0.0,0.0,773,5895.0,Put,6039.3101
2025-01-29,137.62,-35.78,135.8,141.9,43,0.0,1.0,0.0,1711,5900.0,Call,6039.3101
2025-01-29,0.05,-0.125,0.0,0.05,8441,0.0,0.0,0.0,5361,5900.0,Put,6039.3101
2025-01-29,135.6,-32.7,130.8,136.9,6,0.0,1.0,0.0,42,5905.0,Call,6039.3101
2025-01-29,0.05,-0.15,0.0,0.05,3309,0.0,0.0,0.0,4167,5905.0,Put,6039.3101
2025-01-29,145.85,-17.55,125.8,131.9,77,0.0,1.0,0.0,128,5910.0,Call,6039.3101
2025-01-29,0.05,-0.175,0.0,0.05,3732,0.0,0.0,0.0,1361,5910.0,Put,6039.3101
2025-01-29,132.21,-26.19,120.8,126.9,8,0.0,1.0,0.0,25,5915.0,Call,6039.3101
2025-01-29,0.05,-0.175,0.0,0.05,5396,0.0,0.0,0.0,653,5915.0,Put,6039.3101
2025-01-29,118.84,-34.61,115.8,121.9,29,0.0,1.0,0.0,214,5920.0,Call,6039.3101
2025-01-29,0.05,-0.225,0.0,0.05,4906,0.0,0.0,0.0,2665,5920.0,Put,6039.3101
2025-01-29,116.86,-31.79,110.8,116.9,69,0.0,1.0,0.0,69,5925.0,Call,6039.3101
2025-01-29,0.05,-0.225,0.0,0.05,6657,0.0,0.0,0.0,4358,5925.0,Put,6039.3101
2025-01-29,109.9,-33.75,105.8,111.9,166,0.0,1.0,0.0,164,5930.0,Call,6039.3101
2025-01-29,0.05,-0.275,0.0,0.05,6825,0.0,0.0,0.0,1200,5930.0,Put,6039.3101
2025-01-29,99.13,-39.52,100.8,106.9,223,0.0,1.0,0.0,49,5935.0,Call,6039.3101
2025-01-29,0.05,-0.325,0.0,0.05,5885,0.0,0.0,0.0,688,5935.0,Put,6039.3101
2025-01-29,113.48,-20.27,95.8,101.9,451,0.0,1.0,0.0,117,5940.0,Call,6039.3101
2025-01-29,0.05,-0.375,0.0,0.05,9449,0.0,0.0,0.0,1499,5940.0,Put,6039.3101
2025-01-29,96.4,-32.45,90.8,96.9,121,0.0,1.0,0.0,112,5945.0,Call,6039.3101
2025-01-29,0.05,-0.425,0.0,0.05,13505,0.0,0.0,0.0,615,5945.0,Put,6039.3101
2025-01-29,105.18,-18.72,85.8,91.9,1240,0.0,1.0,0.0,1442,5950.0,Call,6039.3101
2025-01-29,0.05,-0.525,0.0,0.05,16906,0.0,0.0,0.0,4612,5950.0,Put,6039.3101
2025-01-29,86.97,-32.03,80.8,86.9,117,0.0,1.0,0.0,97,5955.0,Call,6039.3101
2025-01-29,0.05,-0.625,0.0,0.05,12099,0.0,0.0,0.0,1167,5955.0,Put,6039.3101
2025-01-29,72.19,-41.96,75.8,81.9,1111,0.0,1.0,0.0,342,5960.0,Call,6039.3101
2025-01-29,0.05,-0.725,0.0,0.05,17720,0.0,0.0,0.0,1820,5960.0,Put,6039.3101
2025-01-29,67.24,-42.01,70.8,76.9,159,0.0,1.0,0.0,83,5965.0,Call,6039.3101
2025-01-29,0.05,-0.875,0.0,0.05,13683,0.0,0.0,0.0,854,5965.0,Put,6039.3101
2025-01-29,63.75,-40.4,65.8,71.9,550,0.0,1.0,0.0,410,5970.0,Call,6039.3101
2025-01-29,0.05,-1.025,0.0,0.05,21310,0.0,0.0,0.0,1056,5970.0,Put,6039.3101
2025-01-29,51.5,-47.8,60.8,66.9,252,0.0,1.0,0.0,109,5975.0,Call,6039.3101
2025-01-29,0.05,-1.225,0.0,0.05,14886,0.0,0.0,0.0,1570,5975.0,Put,6039.3101
2025-01-29,54.33,-40.22,55.8,61.9,486,0.0,1.0,0.0,171,5980.0,Call,6039.3101
2025-01-29,0.05,-1.45,0.0,0.05,23141,0.0,0.0,0.0,1066,5980.0,Put,6039.3101
2025-01-29,53.0,-36.85,50.8,56.9,1017,0.0,1.0,0.0,197,5985.0,Call,6039.3101
2025-01-29,0.05,-1.725,0.0,0.05,19527,0.0,0.0,0.0,923,5985.0,Put,6039.3101
2025-01-29,40.0,-45.15,45.8,51.9,454,0.0,1.0,0.0,656,5990.0,Call,6039.3101
2025-01-29,0.05,-2.0,0.0,0.05,30865,0.0,0.0,0.0,1244,5990.0,Put,6039.3101
2025-01-29,45.0,-35.5,40.8,46.9,774,0.0,1.0,0.0,260,5995.0,Call,6039.3101
2025-01-29,0.05,-2.375,0.0,0.05,25582,7.9292,0.0,0.0,804,5995.0,Put,6039.3101
2025-01-29,40.22,-35.63,35.8,41.9,1797,0.0,1.0,0.0,1353,6000.0,Call,6039.3101
2025-01-29,0.05,-2.775,0.0,0.05,49720,7.0807,0.0,0.0,4628,6000.0,Put,6039.3101
2025-01-29,35.43,-35.92,30.8,36.9,1632,0.0,1.0,0.0,221,6005.0,Call,6039.3101
2025-01-29,0.05,-3.2,0.0,0.05,21833,6.2225,0.0,0.0,877,6005.0,Put,6039.3101
2025-01-29,32.04,-34.81,25.8,31.9,3605,0.0,1.0,0.0,800,6010.0,Call,6039.3101
2025-01-29,0.05,-3.7,0.0,0.05,30297,5.3527,0.0,0.0,2051,6010.0,Put,6039.3101
2025-01-29,26.8,-35.65,20.8,26.9,3850,8.2766,1.0,0.0,451,6015.0,Call,6039.3101
2025-01-29,0.05,-4.3,0.0,0.05,29215,4.4686,0.0,0.0,1259,6015.0,Put,6039.3101
2025-01-29,19.1,-39.0,18.3,21.9,7515,6.6129,0.9998,0.0001,871,6020.0,Call,6039.3101
2025-01-29,0.05,-5.0,0.0,0.05,38358,3.5657,-0.0002,0.0001,4146,6020.0,Put,6039.3101
2025-01-29,14.0,-40.25,13.3,14.7,8708,7.0067,0.9998,0.0003,544,6025.0,Call,6039.3101
2025-01-29,0.05,-5.7,0.0,0.05,33895,2.6364,-0.0002,0.0003,4604,6025.0,Put,6039.3101
2025-01-29,9.0,-41.1,8.0,9.7,12631,4.5635,0.8218,0.034,510,6030.0,Call,6039.3101
2025-01-29,0.05,-6.6,0.0,0.05,39891,1.665,-0.0004,0.0006,1328,6030.0,Put,6039.3101
2025-01-29,4.4,-41.7,3.7,4.6,13885,2.2963,0.7013,0.0889,364,6035.0,Call,6039.3101
2025-01-29,0.05,-7.6,0.0,0.05,28773,0.6994,-0.0044,0.0163,941,6035.0,Put,6039.3101
2025-01-29,0.3,-41.9,0.05,0.5,27120,1.2159,0.0952,0.0754,656,6040.0,Call,6039.3101
